Gelechiidae species name,GBIF taxonKey,Host Plants
Acanthophila bimaculata (Liu & Qian),12177642,Cunninghamia lanceolata
Acompsia antirrhinella MilliÃƒÂ¨re,1852185,Antirrhinum asarina
Acompsia tripunctella Denis & Schiff.,,Antirrhinum majus; Plantago
Agnippe biscolorella Chambers,1847975,Gleditsia
Agnippe evippeella Busck,11775947,Aeschynomene americana
Altenia scriptella Hubner,4527972,Acer campestre
Amblypalpis,,Tamarix
Amblypalpis olivierella Ragonot,1851199,Tamarix; Tamarix aphylla; Tamarix dioica
Amblypalpis tamaricella Danilevsky,1851200,Tamarix
Anacampsis,,Rhus
Anacampsis agrimoniella Clemens,1848274,Agrimonia; Agrimonia eupatoria; Agrimonia gryposepala
Anacampsis argyrothamniella Busck,1848365,Argythamnia blodgettii
Anacampsis blattariella Hubner,1848356,Betula
Anacampsis cornifer Walsingham,1848344,Croton flavens
Anacampsis fragariella Busck,1848279,Fragaria
Anacampsis hirsutella Constant,1848333,Dorycnium hirsutum
Anacampsis humilis Hodges,1848296,Trifolium repens
Anacampsis innocuella Zeller,1848278,Alnus; Betula papyrifera; Populus; Populus alba; Populus balsamifera; Populus grandidentata; Populus nigra; Populus tremuloides; Populus x canadensis; Prunus virginiana; Salix
Anacampsis insularis Walsingham,1848262,Hibiscus rosa-sinensis
Anacampsis karmeliella Amsel,1848254,Crataegus
Anacampsis lacteusochrella Chambers,1848350,Croton californicus
Anacampsis lagunculariella Busck,1848331,Laguncularia racemosa
Anacampsis lupinella Busck,1848260,Lupinus; Lupinus perennis
Anacampsis meibomiella Forbes,1848348,Desmodium tortuosum; Phaseolus lunatus
Anacampsis mongolicae Park,1848329,Quercus cerris; Quercus mongolica
Anacampsis niveopulvella Chambers,1848312,Acer negundo; Alnus; Populus; Populus alba; Populus balsamifera; Populus balsamifera trichocarpa; Populus grandidentata; Populus tremuloides; Quercus garryana; Salix
Anacampsis nonstrigella Busck,1848293,Aster
Anacampsis obscurella Denis & Schiff.,,Prunus
Anacampsis okui Park,1848268,Quercus acutissima; Quercus serrata; Quercus variabilis
Anacampsis populella Clerck,1848273,Betula; Betula alba; Betula pubescens; Populus; Populus tremula; Salix; Salix repens
Anacampsis quercella ChrÃ©tien,,Quercus
Anacampsis rhoifructella Clemens,1848343,Populus; Rhus; Rhus typhina; Viburnum; Viburnum dentatum
Anacampsis rivalis Meyrick,1848307,Terminalia bellirica
Anacampsis sacramenta Keifer,1848297,Salix hindsiana; Salix sessilifolia
Anacampsis scintillella Fischer v. RÃ¶sl.,,Helianthemum
Anacampsis temerella Lienig & Zeller,1848314,Salix; Salix repens
Anacampsis trifoliella Constant,1848330,Trifolium repens
Anacampsis tristrigella Walsingham,1848322,Corylus; Corylus americana; Ostrya virginiana
Anarsia,,Aegiceras corniculatum; Albizia saman; Dichrostachys cinerea; Dimocarpus longan; Duabanga moluccana; Litchi chinensis; Macadamia; Mangifera indica; Manilkara zapota; Paraserianthes falcataria; Prosopis farcta
Anarsia acaciae Walsingham,1847594,Acacia; Acacia nilotica; Acacia xanthophloea
Anarsia acerata Meyrick,1847675,Cajanus cajan; Cassia fistula
Anarsia aleurodes Meyrick,1847664,Populus
Anarsia altercata Meyrick,1847649,Sesbania
Anarsia amegarta Meyrick,1847619,Albizia
Anarsia arachniota Meyrick,1847654,Acacia nilotica; Tamarix
Anarsia bimaculata Ponomarenko,11702662,Maackia amurensis
Anarsia bipinnata Meyrick,1847629,Acer ginnala; Ageratum houstonianum; Elaeagnus umbellata; Quercus
Anarsia citromitra Meyrick,1847665,Acacia nilotica
Anarsia didymopa Meyrick,1847620,Capparis zeylanica
Anarsia dryinopa Lower,1847607,Acacia dodonaeifolia
Anarsia eleagnella Kuznetsov,1847671,Elaeagnus; Hippophae
Anarsia ephippias Meyrick,1847655,Acacia; Arachis hypogaea; Caesalpinia; Cajanus; Cajanus cajan; Glycine max; Indigofera; Mangifera indica; Mimosa rubicaulis; Phaseolus; Vigna aconitifolia; Vigna mungo; Vigna radiata; Vigna unguiculata cylindrica
Anarsia epotias Meyrick,1847626,Anacardium occidentale; Cinnamomum; Mangifera indica; Tamarix
Anarsia eutacta Meyrick,1847677,Loranthus
Anarsia guiera Bradley,1847603,Guiera senegalensis
Anarsia halimodendri Christoph,1847680,Ammodendron eichwaldii
Anarsia idioptila Meyrick,1847651,Cassia fistula
Anarsia isogona Meyrick,1847621,Schima
Anarsia lineatella Zeller,1847640,Acer tataricum; Fragaria; Malus; Mangifera indica; Prunus; Prunus armeniaca; Prunus domestica; Prunus dulcis; Prunus persica; Prunus spinosa
Anarsia melanchropa Meyrick,1847667,Acacia gageana; Acacia sinuata
Anarsia molybdota Meyrick,1847622,Acacia decurrens
Anarsia nigricana Park,11761243,Glycine max
Anarsia nr. acaciae Walsingham,,Acacia tortilis
Anarsia nr. reciproca Meyrick,,Acacia nilotica
Anarsia omoptila Meyrick,1847657,Cajanus cajan
Anarsia patulella Walker,1847641,Coriaria nepalensis; Eugenia aquea; Nephelium; Prunus salicina; Tamarindus; Xylocarpus
Anarsia protensa Park,6133371,Elaeagnus pungens
Anarsia reciproca Meyrick,1847632,Acacia catechu; Acacia farnesiana; Acacia nilotica
Anarsia retamella ChrÃ©tien,,Retama raetam
Anarsia sagittaria Meyrick,1847604,Ziziphus mauritiana
Anarsia sagmatica Meyrick,1847682,Dendrophthoe glabrescens; Loranthus
Anarsia sp.,,Acacia stenocarpa
Anarsia spartiella Schrank,,Cytisus; Cytisus scoparius; Genista; Genista tinctoria; Lembotropis nigricans; Ulex
Anarsia triaenota Meyrick,1847633,Acacia farnesiana; Acacia nilotica
Anarsia trichodeta Meyrick,1847618,Acacia
Anarsia tricornis Meyrick,1847605,Trema amboinensis
Anarsia triglypta Meyrick,1847683,Acacia catechu
Anarsia veruta Meyrick,1847624,Pithecellobium dulce
Anasphaltis renigerella Zeller,,Melissa officinalis
Anisoplaca achyrota Meyrick,1849010,Gaya lyallii
Anisoplaca ptyoptera Meyrick,1849008,Ulex europaeus
Anthistarcha binocularis Meyrick,1849248,Anacardium occidentale
Apatetris,,Tamarix kotschyi
Apatetris agenjoi GozmÃ¡ny,,Lithodora fruticosa
Apatetris caecivaga Meyrick,1849044,Tamarix aphylla
Apatetris echiochilonella ChrÃ©tien,,Echiochilon fruticosum
Apatetris halimilignella Walsingham,1849063,Atriplex halimus
Apatetris melanombra Meyrick,,Celmisia; Olearia avicenniaefolia
Apatetris miarodes Meyrick,,Lomandra
Apodia bifractella Duponchel,1849104,Aster tripolium; Conyza; Inula; Pulicaria
Aponoea obtusipalpis Walsingham,1849145,Limoniastrum guyonianum
Aponoea pruinosella ChrÃ©tien,,Limonium pruinosum
Apotistatus leucostictus Walsingham,1849488,Limoniastrum guyonianum
Aproaerema anthyllidella Hubner,1848219,Anthyllis; Glycine max; Medicago sativa; Onobrychis; Trifolium
Aproaerema modicella Deventer,1848220,Arachis hypogaea; Cajanus cajan; Glycine max; Glycine soja; Indigofera hirsuta; Lablab purpureus; Medicago sativa; Rhynchosia minima; Spermacoce articularis; Teramnus labialis; Vigna mungo; Vigna radiata; Vigna umbellata
Ardozyga albifrons Turner,,Eucalyptus
Ardozyga amblopis Meyrick,10435153,Eucalyptus
Ardozyga blacica Turner,,Eucalyptus
Ardozyga compsochroa Meyrick,10287001,Correa speciosa
Ardozyga lithina Lower,11864541,Dodonaea lobulata
Ardozyga mesachra Lower,10605756,Eucalyptus
Ardozyga mesochra Lower,10605756,Eucalyptus; Eucalyptus paniculata
Ardozyga nyctias Meyrick,9977181,Eucalyptus maculata
Ardozyga odorifera Meyrick,10292172,Eucalyptus
Ardozyga sp.,,Melaleuca quinquenervia
Argolamprotes micella Denis & Schiff.,,Rubus; Rubus idaeus; Rumex
Argyrolacia bifida Keifer,1850755,Ceanothus
Aristotelia,,Baccharis; Lantana montevidensis
Aristotelia adceanotha Keifer,5122105,Ceanothus cuneatus
Aristotelia adenostomae Keifer,5122092,Adenostoma fasciculatum
Aristotelia amelanchierella Braun,5122080,Amelanchier alnifolia
Aristotelia argentifera Busck,5122170,Baccharis pilularis; Ericameria ericoides
Aristotelia articulata Meyrick,5122148,Ammannia
Aristotelia benedenii Weyenbergh,5122082,Mimosa; Polygonum
Aristotelia brizella Treitschke,5122113,Armeria; Limonium; Limonium vulgare
Aristotelia corallina Walsingham,5122121,Acacia farnesiana
Aristotelia decurtella Hubner,5122176,Rosa spinosissima; Sanguisorba
Aristotelia eldorada Keifer,5122072,Adenostoma fasciculatum
Aristotelia ericinella Zeller,5122037,Calluna
Aristotelia eupatoriella Busck,5122115,Eupatorium villosum
Aristotelia frankeniae Walsingham,5122108,Frankenia pulverulenta
Aristotelia fungivorella Clemens,5122095,Salix; Salix exigua
Aristotelia galeotis Meyrick,5122091,Glochidion; Mallotus
Aristotelia ivae Busck,5122151,Baccharis halimifolia; Baccharis neglecta; Iva; Iva frutescens
Aristotelia lespedezae Braun,,Lespedeza hirta
Aristotelia mesotenebrella Park,9855730,Securinega suffruticosa
Aristotelia minimella sensu Forbes,5122171,Quercus coccinea/rubra
Aristotelia multistrigella Ragonot,11900024,Rhanterium adpressum
Aristotelia palamota Meyrick,5122103,Ammannia; Rotala
Aristotelia pancaliella Staudinger,5122090,Frangula alnus
Aristotelia physaliella Chambers,,Physalis; Physalis viscosa
Aristotelia psoraleae Braun,5122111,Orbexilum onobrychis
Aristotelia pudibundella Zeller,9259123,Malus; Malus sylvestris
Aristotelia pullusella Chambers,,Polygonum; Quercus
Aristotelia rhamnina Keifer,5122155,Frangula californica californica
Aristotelia rhoisella Busck,5122143,Rhus
Aristotelia robusta Braun,12159276,Scirpus; Scirpus atrovirens
Aristotelia roseosuffusella Clemens,5122131,Pithecellobium unguis-cati; Rhus; Rhus coriaria; Salix; Trifolium; Trifolium pratense
Aristotelia rubidella Clemens,5122086,Quercus
Aristotelia salicifungiella Clemens,5122063,Salix; Salix exigua
Aristotelia sp.,,Acacia farnesiana; Baccharis halimifolia; Hibiscus rosa-sinensis; Nicotiana tabacum; Pithecellobium unguis-cati
Aristotelia staticella MilliÃƒÂ¨re,5122130,Limonium delicatulum
Aristotelia subdecurtella Stainton,5122109,Lythrum salicaria; Myriophyllum
Aristotelia subericinella Duponchel,5122096,Coronilla; Genista; Medicago; Medicago sativa
Aristotelia turbida Turner,11760649,Tribulus terrestris
Aristotelia urbaurea Keifer,5122036,Quercus; Quercus douglasii
Aristotelia wachtlii Rogenhofer,,Tamarix
Aristotelia zetetica Meyrick,5122175,Bridelia stipularis
Arla diversella Busck,5122235,Lotus scoparius; Lotus scoparius
Aroga alleriella Busck,1851216,Polygonum glaucum
Aroga argutiola Hodges,1851248,Comptonia peregrina
Aroga aristotelis MilliÃƒÂ¨re,1851234,Anthyllis armata
Aroga eldorada Keifer,11608628,Adenostoma fasciculatum; Artemisia vulgaris
Aroga eriogonella Clarke,1851249,Eriogonum compositum; Eriogonum heracleoides
Aroga flavicomella Zeller,1851240,Prunus spinosa
Aroga gozmanyi Park,11775020,Quercus dentata
Arogalea cristifasciella Chambers,1851300,Quercus; Quercus coccinea/rubra
Aroga mesostrepta (Meyrick),1851252,Quercus mongolica
Aroga rigidae Clarke,1851254,Artemisia rigida
Aroga sp. A,,Eriogonum latifolium
Aroga sp. B,,Eriogonum latifolium
Aroga trialbamaculella Chambers,1851250,Comptonia peregrina; Epigaea; Epigaea repens; Myrtus communis; Quercus; Vaccinium; Vaccinium stamineum
Aroga trilineella Chambers,1851241,Artemisia tridentata
Aroga velocella Zeller,1851220,Rumex acetosella
Athrips fagoniae Walsingham,5122216,Fagonia glutinosa; Fagonia sinaica
Athrips medjella ChrÃ©tien,,Cotoneaster integerrimus
Athrips mouffetella Linnaeus,5122206,Lonicera; Symphoricarpos
Athrips nigricostella Duponchel,5122194,Medicago sativa
Athrips nitrariella ChrÃ©tien,,Nitraria tridentata
Athrips pruinosella Zeller,5122230,Vaccinium myrtillus; Vaccinium uliginosum
Athrips rancidella Herrich-SchÃ¤ffer,,Cotoneaster; Cotoneaster horizontalis; Cotoneaster microphyllus glacialis
Athrips studiosa Meyrick,5122223,Oryza sativa
Athrips tetrapunctella Thunberg,5122190,Lathyrus palustris
Athrips thymifoliella Constant,5122225,Fumana thymifolia
Atremaea lonchoptera Staudinger,1846381,Typha
Battaristis vittella Busck,1847919,Pinus; Pinus echinata; Pinus sylvestris; Pinus taeda
Besciva nr. longitudinella Busck,,Sabal glaucescens; Sabal longepedunculata
Bilobata subsecivella Zeller,1848127,Arachis hypogaea; Glycine max; Phaseolus; Sesamum indicum; Vigna unguiculata
Brachmia,,Acacia nilotica
Brachmia ballotella Amsel,1848394,Ballota
Brachmia blandella Fabricius,4528539,Ulex
Brachmia deltopis Meyrick,1848404,Hibiscus praeteritus
Brachmia inornatella Douglas,1848426,Phragmites
Brachmia insulsa Meyrick,1848383,Andropogon sorghum; Solanum tuberosum
Brachmia japonicella Zeller,,Quercus acutissima; Quercus glauca; Quercus variabilis
Brachmia resoluta Meyrick,1848397,Shorea robusta
Brachyacma palpigera Walsingham,6113139,Cajanus cajan; Crotalaria; Crotalaria incana; Crotalaria retusa; Tephrosia candida; Tephrosia sinapou
Bryotropha basaltinella Zeller,1848717,Tortula muralis
Bryotropha galbanella Zeller,1848753,Solanum tuberosum
Bryotropha plebeiella Zeller,1848688,Lycopersicon
Bryotropha terrella Denis & Schiff.,,Nicotiana
Bucolarcha geodes Meyrick,1848958,Acacia catechu; Albizia lebbeck
Calliprora sexstrigella Chambers,9973217,Prosopis
Capidentalia salicicola Park,10759161,Salix
Capidentalia salicicolella Kuznetsov,10759161,Salix
Carpatolechia deugyusdana (Park),,Quercus mongolica
Carpatolechia nephomicta (Meyrick),11884408,Quercus dentata; Quercus mongolica; Rhus chinensis
Caryocolum alsinella Zeller,1850110,Cerastium arvense; Cerastium fontanum; Cerastium fontanum vulgare; Cerastium semidecandrum; Minuartia verna; Spergularia media
Caryocolum amaurella Hering,1850026,Lychnis viscaria
Caryocolum blandella Douglas,1850108,Stellaria holostea; Stellaria media
Caryocolum blandelloides Karsholt,1850094,Cerastium arvense; Cerastium semidecandrum
Caryocolum blandulella Tutt,1850085,Cerastium pumilum; Cerastium semidecandrum; Cerastium semidecandrum
Caryocolum cassella Walker,1850045,Stellaria nemorum
Caryocolum cauligenella Schmid,1850107,Silene gallica; Silene inaperta; Silene longicilia; Silene nutans; Silene otites; Silene pratensis; Silene vulgaris
Caryocolum fischerella Treitschke,1850114,Saponaria ocymoides; Saponaria officinalis
Caryocolum fraternella Douglas,1850106,Cerastium; Cerastium arvense; Cerastium fontanum; Cerastium semidecandrum ; Stellaria; Stellaria alsine; Stellaria graminea; Stellaria holostea
Caryocolum huebneri Haworth,1850041,Stellaria alsine; Stellaria holostea
Caryocolum inflativorella Klimesch,1850112,Silene vulgaris
Caryocolum interalbicella Herrich-SchÃ¤ffer,,Cerastium arvense
Caryocolum junctella Douglas,1850029,Cerastium arvense; Stellaria; Stellaria media
Caryocolum klosi Rebel,1850103,Stellaria nemorum
Caryocolum kroesmanniella Herrich-SchÃ¤ffer,,Stellaria alsine; Stellaria graminea ; Stellaria holostea; Stellaria media; Stellaria nemorum
Caryocolum laceratella Zeller,1850078,Moehringia ciliata
Caryocolum leucomelanella Zeller,1850038,Dianthus carthusianorum; Dianthus gratianopolitanus; Dianthus seguieri; Dianthus sylvestris; Petrorhagia saxifraga; Silene vulgaris maritima
Caryocolum marmoreum Haworth,1850077,Cerastium fontanum; Cerastium fontanum vulgare; Cerastium semidecandrum; Silene nocteolons
Caryocolum moehringiae Klimesch,1850035,Moehringia bavarica; Moehringia muscosa
Caryocolum mucronatella ChrÃ©tien,,Arenaria laricifolia; Minuartia laricifolia; Minuartia mutabilis; Minuartia setacea; Minuartia verna
Caryocolum oculatella Thomann,1850084,Gypsophila repens
Caryocolum petrophilum Preissecker,1850044,Cerastium
Caryocolum petryi Hofmann,1850143,Gypsophila fastigiata; Gypsophila repens; Stellaria
Caryocolum protecta Braun,1850091,Silene rotundifolia
Caryocolum provinciella Stainton,1850082,Herniaria; Silene nicaeensis
Caryocolum proximum Haworth,1850073,Cerastium fontanum; Stellaria media
Caryocolum repentella ChrÃ©tien,,Gypsophila repens
Caryocolum saginella Zeller,1850081,Silene linoides; Silene saxifraga
Caryocolum schleichi Christoph,1850062,Dianthus arenarius; Dianthus deltoides; Dianthus sylvestris; Dianthus thunbergii
Caryocolum tischeriella Zeller,1850028,Silene nutans
Caryocolum tricolorella Haworth,1850127,Cerastium arvense; Stellaria alsine; Stellaria holostea; Stellaria media
Caryocolum vicinella Douglas,1850076,Cerastium arvense; Petrorhagia saxifraga; Silene nutans; Silene vulgaris; Silene vulgaris maritima; Spergularia rubra; Stellaria media
Caryocolum viscariella Stainton,1850047,Cucubalus baccifer; Lychnis viscaria; Silene; Silene alba; Silene dioica; Silene vulgaris
Caulastrocecis gypsella Constant,1850513,Aster sedifolius sedifolius
Cecidophaga tamaricicola Walsingham,11444663,Tamarix
Chionodes abella Busck,1850948,Abies concolor; Pseudotsuga menziesii
Chionodes acrina Keifer,1851034,Quercus; Quercus agrifolia
Chionodes bicostomaculella Chambers,1850890,Quercus; Quercus coccinea/rubra
Chionodes braunella arborei Keifer,1851017,Lupinus albifrons; Lupinus arboreus
Chionodes braunella Keifer,1851017,Lathyrus; Lathyrus sulphureus; Lathyrus vestitus; Lupinus; Lupinus albifrons; Lupinus chamissonis; Lupinus ornatus; Lupinus versicolor
Chionodes ceanothiella Busck,1850928,Ceanothus; Ceanothus sanguineus; Ceanothus thyrsiflorus
Chionodes chrysopyla Keifer,1850871,Quercus agrifolia; Quercus dumosa; Quercus kelloggii; Quercus lobata; Quercus wislizeni
Chionodes continuella Zeller,1851000,Cladonia; Picea glauca
Chionodes dammersi Keifer,1850940,Eriogonum elongatum; Eriogonum inflatum; Eriogonum latifolium
Chionodes discoocellella Chambers,1850868,Polygonum; Polygonum hydropiperoides; Rumex
Chionodes distinctella Zeller,1850998,Artemisia campestris; Genista; Thymus
Chionodes electella Zeller,1851010,Juniperus; Juniperus communis; Picea; Picea abies; Pinus
Chionodes fondella Busck,1850962,Gnaphalium obtusifolium obtusifolium
Chionodes formosella Murtfeldt,1850935,Quercus; Quercus alba; Quercus douglasii; Quercus lobata; Quercus macrocarpa; Quercus rubra
Chionodes fumatella Douglas,1850878,Lotus corniculatus
Chionodes fuscomaculella Chambers,1850904,Quercus; Quercus coccinea/rubra
Chionodes gilvomaculella Clemens,1851031,Quercus
Chionodes hibiscella Busck,1850903,Abelmoschus moschatus; Hibiscus; Hibiscus laevis; Hibiscus moscheutos
Chionodes lugubrella Fabricius,1851011,Dorycnium pentaphyllum; Lotus; Lotus corniculatus; Trifolium repens; Vicia cracca
Chionodes luteogeminata Clarke,1850936,Eriogonum niveum
Chionodes mariona Heinrich,1850922,Abutilon; Malvastrum; Sida
Chionodes mediofuscella Clemens,1850908,Ambrosia; Ambrosia trifida
Chionodes negundella Heinrich,,Acer negundo
Chionodes occidentella Chambers,1850917,Ceanothus; Ceanothus oliganthus sorediatus; Ceanothus thyrsiflorus; Cercocarpus; Cercocarpus montanus glaber; Quercus agrifolia; Quercus douglasii; Quercus kelloggii; Quercus lobata
Chionodes ochreostrigella Chambers,1850873,Rumex; Rumex crispus
Chionodes pereyra Clarke,1851002,Quercus coccinea/rubra
Chionodes periculella Busck,1850977,Pinus ponderosa; Pseudotsuga menziesii
Chionodes petalumensis Clarke,1850915,Quercus lobata
Chionodes psiloptera Barnes & Busck,1850974,Poa pratensis
Chionodes raspyon Hodges MS,,Quercus agrifolia; Quercus douglasii; Quercus durata; Quercus garryana; Quercus kelloggii; Quercus lobata; Quercus wislizeni
Chionodes retiniella Barnes & Busck,1850965,Pinus ponderosa
Chionodes sabinianae Powell,1850926,Pinus sabiniana
Chionodes sistrella Busck,1850997,Suaeda moquinii
Chionodes sp.,,Quercus kelloggii; Quercus lobata; Quercus vacciniifolia X chrysolepis
Chionodes sp. 1,,Quercus coccinea/rubra
Chionodes sp. 35,,Quercus coccinea/rubra
Chionodes sp. 36,,Quercus coccinea/rubra
Chionodes sp. A,,Sidalcea malviflora
Chionodes sp. B,,Eriogonum latifolium; Lupinus arboreus; Phacelia californica; Solidago simplex
Chionodes terminimaculella Kearfott,1850950,Populus balsamifera; Populus tremuloides
Chionodes thoraceochrella Chambers,1850923,Quercus coccinea/rubra; Quercus rubra
Chionodes tragicella Heyden,1850895,Larix
